,Distance_km,Weather,Traffic_Level,Time_of_Day,Vehicle_Type,Preparation_Time_min,Courier_Experience_yrs,Delivery_Time_min
2295,4.129808315307196,Rainy,High,Afternoon,Bike,5,6.288976312976711,32
2296,12.370575916715524,Rainy,High,Afternoon,Car,29,8.666456789159062,87
2297,8.738275632146431,Foggy,Medium,Evening,Car,14,7.169205283897411,50
2298,11.456493131686786,Clear,Medium,Night,Bike,25,8.612764259408442,67
2299,19.22867869902731,Snowy,Medium,Afternoon,Car,20,4.910840376465239,105
2300,19.286288243899147,Clear,High,Morning,Bike,19,1.8463210486013684,79
2301,9.9422935343725,Clear,Low,Morning,Bike,14,1.969470302427809,37
2302,17.466711888464147,Rainy,Medium,Morning,Scooter,22,0.9554699800573933,72
2303,3.7458565538467608,Foggy,Low,Evening,Car,25,8.796768260082242,40
2304,7.697713907346519,Clear,Low,Afternoon,Bike,19,5.765090160420328,43
2305,17.459309258431816,Clear,Low,Morning,Scooter,8,4.850818426125181,74
2306,11.588465741851738,Windy,Medium,Afternoon,Scooter,17,4.0060623820095005,69
2307,8.63068900409941,Rainy,Low,Evening,Scooter,29,8.379880153711149,64
2308,6.833122814149003,Clear,Low,Afternoon,Bike,15,6.854386161185415,32
2309,15.14102951951712,Clear,Low,Evening,Bike,21,6.528663497042164,64
2310,2.606408363077284,Clear,Low,Morning,Bike,16,1.7765206394249753,29
2311,15.33888319207702,Clear,Medium,Night,Car,23,2.976273476158893,79
2312,3.564756551097872,Clear,Medium,Afternoon,Bike,20,8.755173351891527,33
2313,17.260753501172847,Snowy,Low,Night,Bike,28,6.039847270302365,92
2314,7.296264659325418,Foggy,Medium,Afternoon,Bike,26,1.9021732173270656,66
2315,18.83884326670621,Rainy,High,Evening,Bike,12,7.98799370718084,69
2316,18.91116408738549,Windy,Low,Morning,Car,4,3.015574385254905,80
2317,7.659421733992244,Clear,Low,Morning,Scooter,13,9.077880441856747,48
2318,13.997356630108936,Clear,Medium,Night,Bike,20,6.185774200374906,54
2319,9.565743732075362,Clear,High,Morning,Scooter,9,9.305686175824691,47
2320,2.9928898640938617,Windy,Medium,Morning,Bike,28,5.267557443686758,40
2321,3.381237990920384,Windy,Medium,Morning,Bike,11,5.605761881377712,31
2322,8.792571488837348,Rainy,Medium,Afternoon,Bike,6,1.9465468241977413,36
2323,16.51016972004475,Rainy,Low,Evening,Car,19,5.344057992658893,77
2324,18.66647567728519,Clear,Medium,Evening,Scooter,5,6.087947167596891,49
2325,0.7582010868617824,Clear,Medium,Morning,Bike,9,7.9475572361502,18
2326,2.7938291504869546,Windy,Medium,Morning,Scooter,7,4.810384019267284,21
2327,15.291629519661065,Clear,Medium,Morning,Bike,17,6.1389767485139135,75
2328,6.360532090294179,Clear,Medium,Night,Bike,7,3.9011861417904776,29
2329,5.055266508417538,Clear,Medium,Night,Bike,14,4.860679672596362,36
2330,1.8279168646049275,Windy,Low,Afternoon,Car,11,6.693553264848358,19
2331,5.451466027508817,Clear,High,Morning,Scooter,17,5.472223717118293,40
2332,14.165844113147234,Clear,Medium,Evening,Scooter,23,4.626200603174211,89
2333,9.518335156346089,Clear,Low,Morning,Bike,8,0.944861181308984,48
2334,9.600585848608128,Clear,High,Morning,Scooter,9,8.68245512291117,49
2335,5.315691809481536,Foggy,Low,Afternoon,Scooter,9,9.660319194747457,32
2336,9.76307825022827,Clear,Low,Afternoon,Car,28,5.091295260075661,62
2337,2.272189843435371,Windy,Medium,Afternoon,Car,16,6.20481169432407,30
2338,18.86148341408704,Clear,Medium,Night,Scooter,13,0.9547814251050148,57
2339,7.133562697120066,Clear,Medium,Evening,Bike,24,1.096463499831064,51
2340,0.7507638506666372,Clear,Medium,Afternoon,Bike,10,4.820957074349719,16
2341,12.941066753693306,Clear,High,Morning,Bike,9,4.097465117517145,55
2342,12.00759142317598,Rainy,High,Afternoon,Car,31,9.29309892839784,80
2343,7.468819350981088,Clear,Medium,Afternoon,Scooter,5,8.815758565358871,28
2344,19.80838146266921,Rainy,High,Evening,Bike,17,0.9618229706462068,113
2345,9.312959648601876,Rainy,Low,Evening,Car,9,0.0061210962358622,42
2346,1.7973138973508065,Clear,Medium,Afternoon,Car,23,2.6957590439131813,33
2347,15.698696484323015,Rainy,Low,Afternoon,Scooter,27,-0.0407697903447496,68
2348,17.400233239424875,Snowy,Low,Afternoon,Bike,26,8.346862755640075,95
2349,8.51092065936411,Clear,Low,Evening,Scooter,8,1.9877485760155196,39
2350,12.10064271900763,Clear,Low,Night,Bike,32,0.087210491129603,65
2351,17.80089671268564,Clear,High,Night,Bike,9,3.8137251396380543,90
2352,12.146773123230414,Clear,Medium,Evening,Scooter,17,3.914370933801439,66
2353,9.35117669174564,Snowy,Low,Evening,Bike,6,4.523926024513096,44
2354,14.16710353376656,Clear,Medium,Afternoon,Scooter,23,7.040333953440206,75
2355,17.99874849369826,Snowy,Low,Afternoon,Bike,11,7.565930528665702,66
2356,1.3085144475989086,Foggy,High,Evening,Bike,8,4.720110406382112,29
2357,18.87046191131466,Clear,Medium,Morning,Scooter,25,2.099340477934294,83
2358,12.08121599165533,Clear,Low,Evening,Car,23,0.042010842998204,76
2359,20.62299769953689,Snowy,Low,Afternoon,Bike,17,1.0700786905335755,96
2360,14.934475812230811,Clear,High,Morning,Scooter,11,6.305548950517437,60
2361,18.414224783349777,Clear,Low,Evening,Scooter,10,3.072242076853214,78
2362,3.765599229206264,Clear,Medium,Evening,Bike,21,4.523926024513096,46
2363,16.98531040855993,Clear,Medium,Evening,Bike,15,3.13495805595443,57
2364,5.627063174464623,Foggy,Low,Morning,Scooter,7,1.9534079664588424,31
2365,10.299475282475903,Clear,Low,Afternoon,Bike,21,6.689707909468639,50
2366,1.880254457669931,Clear,Medium,Evening,Bike,10,0.9969458235610122,24
2367,10.718826378388131,Snowy,Low,Afternoon,Bike,9,0.9486644754107368,66
2368,16.806760421335103,Snowy,Medium,Afternoon,Bike,18,8.717747740750978,90
2369,18.14639212866747,Rainy,Low,Afternoon,Scooter,27,8.464776289440582,84
2370,8.890548904009874,Rainy,High,Afternoon,Bike,14,6.392758506068944,107
2371,2.27031426534757,Rainy,Low,Night,Bike,23,1.8754419322361324,36
2372,5.903367072345537,Clear,Medium,Morning,Scooter,10,6.7481846654817215,26
2373,12.771556580618196,Windy,Medium,Morning,Bike,13,8.960152476805645,67
2374,5.343381404035951,Foggy,Low,Evening,Scooter,26,4.600837084937308,50
2375,14.173199001923091,Rainy,Low,Evening,Scooter,14,3.959189242575365,96
2376,10.55762524664089,Clear,Medium,Afternoon,Scooter,6,9.515912344869555,49
2377,19.14771333999054,Clear,Low,Afternoon,Bike,6,7.89233757707012,70
2378,1.6966952252474452,Clear,Medium,Evening,Bike,13,9.35794771321721,22
2379,3.3375237580042376,Rainy,Medium,Evening,Bike,10,4.715533581336554,31
2380,15.423356887700612,Rainy,Medium,Morning,Scooter,12,8.436634982786947,75
2381,5.600222749423636,Clear,Low,Afternoon,Scooter,11,3.703610597385465,33
2382,7.531496828561395,Rainy,Medium,Evening,Bike,28,6.645622006758618,71
2383,10.18649031077632,Clear,Low,Morning,Bike,10,4.878602471988748,50
2384,19.21422271379417,Rainy,High,Afternoon,Bike,9,7.417968631410267,75
2385,17.922346363367545,Rainy,High,Evening,Scooter,23,5.5810125102489145,91
2386,5.88163276524063,Windy,Medium,Morning,Bike,26,6.719534785676421,50
2387,4.265406353177781,Foggy,Medium,Night,Bike,12,7.7855469147951615,36
2388,18.90644533288777,Windy,Low,Morning,Bike,30,1.024570013977238,96
2389,1.3042822327187873,Snowy,Low,Afternoon,Bike,21,0.9704500765614322,38
2390,19.975630444205333,Clear,Low,Morning,Bike,16,4.75303548159194,72
2391,15.90952390938056,Clear,Low,Evening,Bike,25,1.930605801118721,75
2392,4.824035519194974,Clear,Low,Evening,Bike,11,1.0359087011469184,32
2393,1.991198519995584,Rainy,Low,Night,Bike,23,2.1595347011002866,39
2394,4.553420218060757,Rainy,Low,Afternoon,Bike,5,6.497811714084142,20
2395,11.895426107381953,Foggy,Low,Afternoon,Bike,11,0.9367393982000902,68
2396,19.91113786770421,Clear,Low,Evening,Scooter,8,8.657688848406607,61
2397,17.79455403608945,Foggy,Medium,Morning,Scooter,22,0.0628252058970055,104
2398,20.279682935976123,Clear,High,Evening,Bike,8,6.101098152028968,78
2399,2.899047914027681,Clear,High,Afternoon,Scooter,10,-0.0398358382769944,40
2400,18.5815841902662,Snowy,Medium,Evening,Bike,21,3.526508457392496,80
2401,7.47494489193353,Foggy,Medium,Afternoon,Bike,23,5.720802824084422,93
2402,10.70922886106816,Clear,Medium,Afternoon,Scooter,13,4.829283776958556,42
2403,13.616297292336863,Clear,High,Morning,Scooter,17,-0.0412315274594448,69
2404,3.824814158838772,Clear,High,Afternoon,Car,17,6.259375437525532,42
2405,7.772706848606921,Clear,Low,Afternoon,Scooter,7,8.788852688308983,32
2406,17.742058032959797,Rainy,Medium,Morning,Bike,21,1.0626444497706828,70
2407,1.0096460037487611,Snowy,Medium,Morning,Bike,24,4.040470279662264,41
2408,18.262520096478852,Windy,Medium,Morning,Bike,28,1.1617735101542643,104
2409,12.827682198068096,Clear,Medium,Evening,Bike,21,9.030266981786204,70
2410,2.5300536304374672,Windy,Medium,Afternoon,Car,14,5.806247873888385,27
2411,18.258093170797817,Clear,Low,Morning,Car,15,8.526149697093615,53
2412,7.893835482097004,Clear,High,Afternoon,Scooter,14,3.850386349582452,51
2413,6.119516533387292,Clear,High,Morning,Bike,11,5.374145350266364,36
2414,18.73211754250974,Clear,Low,Evening,Scooter,26,0.0512070591326031,78
2415,20.545364186100517,Clear,Low,Morning,Bike,17,4.859911710985039,67
2416,2.998478919517776,Rainy,Medium,Evening,Scooter,10,0.9945453395861872,30
2417,1.1055341667100291,Clear,High,Morning,Scooter,23,7.745542415700346,34
2418,6.27656425645185,Rainy,High,Morning,Bike,21,1.8637077449647503,57
2419,16.385784159005684,Snowy,High,Evening,Scooter,20,9.204585926877789,75
2420,19.805281280652064,Clear,Low,Afternoon,Car,16,1.06900616447927,101
2421,17.04035152559754,Clear,Low,Morning,Car,29,2.9054332213810232,73
2422,5.11651441557749,Rainy,High,Evening,Bike,13,8.747313453075742,48
2423,2.872237991190812,Windy,High,Afternoon,Bike,26,4.201090067015616,49
2424,1.5003997197760168,Clear,High,Evening,Bike,27,1.0081935700868228,45
2425,5.455614110558152,Clear,Medium,Morning,Car,15,1.049677551365633,37
2426,1.460328664112607,Clear,High,Afternoon,Bike,15,1.7179831177759308,33
2427,4.579230582905707,Clear,Low,Morning,Bike,24,9.604995258637352,35
2428,15.610397819626366,Foggy,Low,Morning,Car,11,1.0925209257077262,91
2429,3.72608682142126,Clear,Low,Morning,Bike,9,-0.039259245018672,25
2430,8.104503346857394,Foggy,High,Evening,Bike,17,4.076328959088193,62
2431,19.14601833722177,Rainy,Low,Afternoon,Bike,5,0.9587106437372748,52
2432,5.443232141357998,Clear,Medium,Afternoon,Scooter,25,6.070962658084459,45
2433,16.217803709996346,Rainy,High,Evening,Bike,22,0.0188491850463297,93
2434,16.010421228664153,Clear,Low,Evening,Bike,13,4.527892632642241,55
2435,5.5941820809405085,Foggy,High,Evening,Bike,18,1.0052432516539307,119
2436,14.205094751474997,Clear,Low,Morning,Bike,25,0.0555572607602231,67
2437,1.6945258227662467,Foggy,High,Afternoon,Scooter,8,8.767495301834714,26
2438,11.208307124115004,Clear,Low,Afternoon,Scooter,26,3.2190985253761144,47
2439,6.475803399113546,Windy,Low,Morning,Bike,15,2.88495523242747,42
2440,6.069985707932105,Clear,Medium,Evening,Bike,9,8.79976592242835,39
2441,7.682953132611954,Clear,Low,Afternoon,Scooter,30,5.086355954760118,48
2442,16.253706291665274,Rainy,Low,Morning,Bike,21,4.088320171966647,138
2443,0.8734651499947419,Clear,Medium,Afternoon,Car,22,7.4055641920784545,27
2444,4.703384505781361,Foggy,Medium,Evening,Car,25,1.030268927790676,62
2445,18.308196263170853,Clear,High,Morning,Bike,19,2.073856603920206,71
2446,18.005805675093534,Clear,Medium,Morning,Bike,21,6.348984639838263,73
2447,15.164763004727709,Rainy,Medium,Night,Bike,7,4.523926024513096,86
2448,11.42692614931998,Foggy,Low,Afternoon,Scooter,21,-0.0826682451197563,62
2449,10.285056016845612,Foggy,Medium,Morning,Bike,23,3.114179400119381,76
2450,19.97485819766126,Foggy,Medium,Evening,Bike,27,3.7801220096723767,112
2451,14.006654503708443,Snowy,Low,Evening,Bike,27,7.128561785747219,81
2452,4.133454345076469,Clear,Medium,Morning,Bike,15,2.099397206407548,36
2453,8.748041591387544,Clear,High,Evening,Bike,26,2.8023171083535607,56
2454,6.81797676719703,Windy,Low,Morning,Bike,14,2.8761878907536453,41
2455,3.4016274003645792,Windy,Medium,Night,Bike,21,1.9667149734998208,43
2456,12.084725650864511,Foggy,Low,Morning,Bike,22,7.80003895928082,71
2457,3.440193342697837,Clear,Medium,Afternoon,Bike,19,9.029614191037446,35
2458,6.652772334105846,Clear,Medium,Evening,Scooter,28,8.356209427063064,52
2459,13.676576658759476,Rainy,Low,Night,Bike,16,6.015102790304114,76
2460,5.752687229110619,Foggy,Low,Afternoon,Bike,27,7.4051383057160916,53
2461,18.49939143954756,Clear,Medium,Afternoon,Bike,29,3.8532640231398942,84
2462,2.4431666565859635,Clear,Low,Afternoon,Bike,16,0.96831056771111,28
2463,2.1334562434955253,Clear,Low,Afternoon,Bike,24,0.991553886421916,36
2464,18.592838492288365,Snowy,Medium,Morning,Bike,26,5.758093866692445,94
2465,15.795191026515212,Clear,Low,Night,Car,5,7.75222256560659,72
2466,4.863241191640936,Clear,Medium,Evening,Scooter,6,6.568711801723784,26
2467,9.87007289573618,Clear,Low,Afternoon,Bike,29,6.086304613102716,65
2468,8.124384168886023,Clear,High,Night,Bike,12,5.034048965701374,38
2469,17.898438133053872,Rainy,High,Night,Bike,22,8.608340492825512,109
2470,6.28142474354614,Clear,Medium,Evening,Car,18,1.0588008845892032,50
2471,3.3803198954400835,Windy,Medium,Morning,Bike,7,6.290452845862627,25
2472,4.996198950087588,Rainy,Low,Afternoon,Car,10,7.067479577377194,30
2473,18.59250510095666,Clear,High,Night,Bike,9,4.143525363563531,99
2474,18.38001697265374,Windy,High,Afternoon,Scooter,10,6.977560906245968,75
2475,16.198920580995093,Rainy,Medium,Morning,Bike,23,0.9976625273048648,67
2476,7.644639015210304,Rainy,Medium,Evening,Bike,26,5.434735119443408,67
2477,15.836354316157031,Foggy,Low,Morning,Car,12,1.0387468053554236,110
2478,5.274727524504734,Clear,Low,Evening,Car,29,0.946281272859266,50
2479,2.6891630789700507,Clear,Medium,Evening,Bike,14,4.078984353441605,24
2480,1.7943926218118886,Rainy,Medium,Morning,Bike,16,-0.002410419282128,35
2481,18.291079948224017,Snowy,Low,Morning,Car,13,6.398028784666443,63
2482,17.61667693612748,Rainy,Low,Evening,Car,12,6.5749647826121205,59
2483,2.196123365501577,Clear,Low,Afternoon,Bike,25,0.9761740432380704,40
2484,0.8824625517883202,Rainy,Low,Night,Car,28,2.040739717764437,34
2485,10.640054286911472,Clear,Medium,Morning,Scooter,19,1.0208329530274296,58
2486,9.804741929040071,Clear,Low,Afternoon,Scooter,27,2.9762855246456232,47
2487,13.987963552117428,Foggy,High,Evening,Bike,10,7.329802630081166,64
2488,18.212135635916532,Clear,High,Morning,Scooter,25,3.746145536277903,104
2489,9.598195365452847,Rainy,Medium,Afternoon,Bike,18,9.380432950551924,58
2490,3.586014561587969,Clear,Medium,Morning,Bike,16,1.9217458713673556,34
2491,14.305445682885196,Snowy,Low,Morning,Scooter,19,3.971645573101173,69
2492,18.14050685802501,Snowy,Low,Afternoon,Bike,17,0.9627621921607804,101
2493,17.609103689147155,Rainy,Medium,Afternoon,Bike,17,6.983076910782931,87
2494,0.8018268012426504,Clear,Medium,Morning,Bike,6,0.9743100123645982,18
2495,10.971387306250442,Rainy,Low,Morning,Scooter,10,5.335524988653082,58
2496,6.626085350763642,Windy,High,Evening,Scooter,7,2.988184225587465,42
2497,15.484252022909136,Snowy,High,Morning,Car,17,3.020059788989302,86
2498,7.829134349045713,Rainy,Medium,Evening,Bike,29,6.224860314679317,67
2499,12.643020357634112,Rainy,Low,Morning,Car,17,3.964118321267028,60
2500,6.653456017081226,Clear,Medium,Night,Bike,10,6.930296393644378,37
2501,16.82576987281925,Clear,Low,Morning,Bike,11,6.159008977759022,75
2502,10.634358736846549,Rainy,Low,Evening,Car,8,4.124853830868165,53
2503,13.405032522331004,Clear,Medium,Morning,Bike,17,1.913116851211029,82
2504,7.849982418262524,Clear,Medium,Afternoon,Car,17,8.899651632823451,43
2505,13.001360454921974,Snowy,Medium,Evening,Bike,8,7.54795334705242,74
2506,20.10750261098821,Foggy,Low,Afternoon,Car,15,4.523926024513096,73
2507,18.440221113752475,Rainy,High,Evening,Scooter,22,1.043454088663299,112
2508,15.879044666158284,Clear,Medium,Evening,Car,12,2.0374778530858677,63
2509,7.162490199565535,Windy,Low,Afternoon,Car,10,8.139717108941683,31
2510,8.427270528158697,Clear,Medium,Afternoon,Scooter,20,9.445859775056414,45
2511,13.215799920402002,Clear,Low,Evening,Scooter,9,8.038228028311606,31
2512,11.944518983088068,Clear,Medium,Morning,Bike,10,6.250851877940294,41
2513,3.311686634167353,Rainy,Low,Evening,Scooter,28,-0.005596362520252,49
2514,10.7835145930026,Clear,Low,Evening,Bike,16,3.6831344844303207,56
2515,4.114138473700516,Foggy,Low,Evening,Car,24,8.570069160702051,41
2516,3.835993057406078,Windy,High,Evening,Bike,17,5.67694168741759,38
2517,12.508092761436435,Foggy,Low,Evening,Bike,27,7.013477356997893,82
2518,4.015444638413412,Clear,High,Afternoon,Bike,19,7.357846789176078,43
2519,11.16448751891677,Clear,Medium,Evening,Bike,7,-0.0356856231932801,55
2520,2.374726275914363,Rainy,Low,Afternoon,Car,22,5.699613801717,36
2521,1.0321682287641638,Clear,Medium,Evening,Bike,16,4.523926024513096,34
2522,14.462074904203009,Clear,Low,Morning,Scooter,29,0.9681800509472264,74
2523,4.639371403634527,Rainy,Low,Morning,Car,23,8.696865340606267,45
2524,3.890792632344306,Foggy,Low,Evening,Car,28,8.321491599934864,45
2525,6.536317139993916,Foggy,High,Morning,Scooter,28,1.0866242503847814,102
2526,6.225592542166524,Clear,Medium,Evening,Scooter,30,3.8130151837122312,61
2527,7.405582795222675,Clear,Low,Morning,Scooter,12,9.303502316137283,44
2528,15.933592352957,Clear,Low,Evening,Bike,21,6.777810423868097,59
2529,9.273648603657383,Windy,Medium,Morning,Scooter,20,9.470991762378802,48
2530,10.955686249089972,Rainy,High,Evening,Scooter,14,0.9432283845484716,77
2531,12.465244706314362,Rainy,Low,Evening,Bike,27,8.823126646854563,78
2532,14.73131236064834,Foggy,Low,Morning,Car,4,2.8774655867732792,59
2533,8.270558382004827,Foggy,Low,Evening,Car,21,2.005704168467896,62
2534,10.475014024976693,Windy,Medium,Afternoon,Bike,27,3.073772160163194,75
2535,16.553341149585194,Clear,Low,Morning,Bike,24,5.830231301194322,74
2536,7.024579288401879,Clear,High,Morning,Bike,29,1.0790363521199258,67
2537,20.34709282735542,Clear,Low,Morning,Car,19,7.163937347082225,72
2538,17.62761303451911,Clear,Medium,Evening,Bike,32,3.1620181505708707,98
2539,8.859136687054685,Snowy,Medium,Evening,Car,19,6.210062115433156,66
2540,4.285694326477493,Clear,Low,Morning,Bike,20,3.0367136703840143,39
2541,12.754825334299785,Windy,Medium,Morning,Bike,13,8.649688088846819,63
2542,12.097831603168668,Clear,Medium,Morning,Car,21,4.781357133327102,65
2543,8.061850042735369,Clear,High,Night,Bike,27,4.938162268212771,56
2544,8.273794391511478,Clear,Low,Evening,Bike,19,3.032723590401304,55
2545,4.429608161436677,Foggy,Low,Morning,Scooter,10,0.9790998016996132,68
2546,12.954140057525551,Windy,Medium,Afternoon,Scooter,19,7.390619829348158,63
2547,2.0433979204634105,Foggy,Medium,Evening,Scooter,22,3.7632734206771006,41
2548,5.48803545317064,Clear,Low,Morning,Car,10,7.751149007857444,29
2549,12.530969396863732,Clear,Low,Evening,Scooter,9,4.890079497770388,58
2550,3.480411317523414,Clear,High,Afternoon,Car,16,6.16039437365765,49
2551,2.569284889937884,Windy,Medium,Morning,Scooter,8,5.461349920312594,23
2552,11.084313129216318,Clear,Medium,Morning,Bike,23,4.523926024513096,72
2553,11.092501932770428,Foggy,Low,Afternoon,Car,5,6.676374593543189,58
2554,12.809988274648028,Foggy,Medium,Evening,Scooter,16,9.408760224904,70
2555,0.7856582203902214,Clear,Medium,Afternoon,Bike,11,5.213461572456764,17
2556,11.337613694817096,Clear,High,Morning,Car,19,0.976694590022791,65
2557,6.979334869533716,Clear,Low,Afternoon,Car,19,1.801370938812958,44
2558,10.233459297303268,Clear,Medium,Evening,Bike,28,0.0232576997413459,70
2559,5.253872092307564,Foggy,Low,Morning,Scooter,7,2.008113172128985,26
2560,19.328356209929662,Clear,High,Morning,Scooter,28,4.1752425158643325,105
2561,6.793234211078612,Snowy,Low,Morning,Scooter,14,7.739334396405988,35
2562,11.051694299514445,Clear,Low,Afternoon,Scooter,26,7.136887535484315,72
2563,5.805467769400348,Clear,High,Morning,Bike,12,5.290725643136035,38
2564,10.623524783512366,Windy,Medium,Afternoon,Car,22,5.130445509663574,57
2565,19.464500844625857,Clear,Low,Afternoon,Scooter,16,7.839530731301044,87
2566,0.8143273358348031,Clear,Medium,Morning,Bike,10,7.717815154505046,17
2567,10.412324687886894,Clear,Medium,Afternoon,Bike,18,2.934507313410593,57
2568,6.6705503263229255,Foggy,Low,Evening,Bike,8,4.620686534856974,32
2569,19.01322124996696,Windy,Medium,Night,Bike,23,9.537198146218612,69
2570,4.172547147465982,Foggy,Low,Evening,Scooter,19,8.20580868306356,39
2571,11.21048326342236,Clear,Low,Evening,Scooter,20,8.218699741585649,51
2572,2.109635868100155,Foggy,Medium,Evening,Scooter,23,3.831698508217694,41
2573,3.4483876357338032,Clear,Medium,Afternoon,Bike,12,6.796304405497043,30
2574,18.28256454882013,Clear,Low,Afternoon,Scooter,16,8.16904462932565,82
2575,2.310401711268763,Foggy,Medium,Morning,Scooter,27,6.131030325333149,44
2576,0.944140381577258,Clear,Low,Afternoon,Bike,20,7.313624370979107,23
2577,0.958848490135098,Clear,Medium,Afternoon,Bike,18,4.244368669539201,27
2578,4.217140981353819,Clear,Low,Morning,Bike,23,9.381805405411528,35
2579,14.956583007047897,Windy,Medium,Morning,Bike,13,6.421910779028151,76
2580,7.31816631757474,Clear,High,Morning,Bike,8,5.802815618333515,43
2581,19.2164357381648,Windy,High,Afternoon,Car,13,9.429588954947883,71
2582,10.225485132011986,Clear,Medium,Morning,Bike,15,0.0196159109502266,62
2583,16.05273749712092,Clear,Low,Morning,Bike,27,5.82764013379487,86
2584,3.425024518923588,Clear,Low,Morning,Bike,10,-0.0011081342315427,28
2585,4.432912134648436,Snowy,High,Evening,Bike,24,0.085755910908939,66
2586,7.802744874630344,Rainy,Medium,Morning,Bike,11,7.666749944143587,48
2587,2.1552215042953637,Clear,Medium,Night,Car,10,1.0000280927734606,22
2588,7.990992268379091,Windy,Medium,Evening,Scooter,8,7.6991985972572925,37
2589,17.380603177660177,Snowy,High,Morning,Bike,5,-0.009653621611667,68
2590,5.155943073003316,Clear,High,Morning,Bike,11,4.77897271474252,38
2591,4.408331637650607,Clear,Low,Morning,Bike,23,9.128000402249048,32
2592,0.9903489178254328,Clear,Low,Night,Scooter,23,8.063053774215462,25
2593,14.495817517631624,Snowy,High,Morning,Car,19,2.947734149218924,87
2594,19.330597763345043,Snowy,Low,Morning,Bike,28,0.9615929303253404,118
2595,16.166620701316116,Rainy,Low,Evening,Car,18,1.0467417861506447,64
2596,3.3689214731863717,Clear,High,Morning,Bike,9,4.523926024513096,27
2597,13.057135785554117,Clear,Medium,Morning,Car,11,1.084946307731338,50
2598,11.722279435845902,Rainy,Low,Afternoon,Bike,18,5.118725623126075,58
2599,8.832089060725648,Clear,Low,Evening,Bike,19,2.921448796791673,49
2600,6.903691125278305,Foggy,Medium,Night,Bike,6,6.219665421927298,41
2601,15.530900401267168,Clear,Low,Morning,Bike,28,6.150624115425992,86
2602,1.1518574318372985,Clear,Low,Morning,Bike,5,6.285626331245482,7
2603,5.579060002033068,Windy,Medium,Morning,Bike,24,6.217244585672292,49
2604,7.57207209354701,Clear,High,Morning,Bike,29,0.9867763107951544,68
2605,3.2438537419202973,Clear,Medium,Night,Car,11,9.297939127578754,25
2606,10.878836059297688,Rainy,Low,Morning,Scooter,10,6.232387690582545,56
2607,2.4677310054185093,Clear,Low,Morning,Car,5,1.0507499388942012,19
2608,14.10295276718173,Clear,Low,Morning,Scooter,26,0.968145198730118,84
2609,13.11476817477034,Clear,Low,Evening,Bike,13,3.776759310184088,66
2610,3.405919243874335,Rainy,Medium,Evening,Bike,10,5.167849881258526,33
2611,14.748589055933705,Rainy,Low,Night,Bike,16,6.660992944577328,88
2612,2.947161275891656,Rainy,Low,Morning,Car,14,3.9618388787314913,41
2613,3.93734241917781,Rainy,Low,Morning,Bike,24,2.0695292726664385,42
2614,4.976722533758077,Rainy,Low,Morning,Car,24,8.460029316460549,45
2615,10.983469838288768,Rainy,Medium,Morning,Bike,8,5.896739520700499,63
2616,9.191572191286816,Clear,Low,Morning,Bike,8,1.0468168690414663,48
2617,14.3895598377902,Clear,High,Night,Scooter,16,4.333751920188385,89
2618,1.0613110682764015,Clear,Low,Afternoon,Scooter,27,3.994519541826699,29
2619,11.3704608580967,Clear,High,Morning,Bike,9,4.053682515970581,60
2620,16.51161702749706,Clear,Medium,Morning,Bike,6,2.062301102929774,52
2621,13.20988643668438,Clear,Medium,Afternoon,Car,26,4.811074221208693,82
2622,10.22225181718206,Clear,Low,Evening,Bike,16,3.992234742268781,50
2623,15.321864907394067,Snowy,Low,Morning,Car,22,7.378729469003561,68
2624,14.235218562618792,Clear,High,Afternoon,Bike,12,6.024513577878066,68
2625,6.129883697518077,Foggy,High,Morning,Scooter,31,0.9999673463042228,111
2626,4.976029878632877,Rainy,High,Evening,Scooter,28,3.997947735188776,65
2627,17.964136926003032,Clear,Medium,Morning,Scooter,18,3.0422024839648403,77
2628,15.107826625268972,Snowy,Low,Evening,Bike,30,6.515063030773794,84
2629,13.905565661145683,Windy,High,Afternoon,Scooter,23,4.95439765413447,82
2630,8.71565341379385,Snowy,Low,Evening,Bike,17,2.941309842763869,54
2631,3.389474719908093,Clear,Low,Morning,Bike,24,5.66117782369114,38
2632,4.449766393189275,Clear,High,Morning,Scooter,23,8.551236944494308,46
2633,12.809876379445626,Clear,Medium,Afternoon,Bike,27,-0.0178666161178282,77
2634,10.320883955142811,Clear,High,Morning,Bike,27,8.835866816488993,63
2635,15.764301155081087,Snowy,Low,Evening,Bike,17,5.225946034456067,71
2636,18.446185255946745,Foggy,Medium,Morning,Scooter,20,0.0154337647027808,100
2637,14.550275263497925,Clear,Medium,Morning,Bike,16,5.566842160168308,59
2638,4.304254691850429,Clear,Medium,Morning,Car,28,4.836414532236224,48
2639,9.760264885947176,Rainy,Medium,Morning,Car,7,0.001607930978259,45
2640,3.8660615920095274,Clear,Low,Morning,Bike,20,3.015851208792126,37
2641,9.223282480955968,Clear,Low,Afternoon,Car,12,0.0020551067859464,46
2642,2.6440868399436965,Clear,Medium,Afternoon,Car,13,3.9167008577881015,35
2643,1.5184484610312572,Clear,High,Evening,Bike,24,0.9502947132884588,48
2644,0.6005303550551063,Clear,Low,Afternoon,Bike,24,2.9272334971043907,31
2645,14.887754896694217,Foggy,Low,Morning,Bike,15,1.087346231859282,56
2646,14.528230324037397,Windy,Medium,Morning,Bike,20,2.046280645918185,77
